PeakID,Mass,RT,FORMULA,Putative metabolite,confidence,Map,Pathway,PAK-1-0,PAK-2-0,PAK-3-0,PAK-4-0,PAK-5-0,PAK-1-1-C,PAK-2-1-C,PAK-3-1-C,PAK-4-1-C,PAK-5-1-C,PAK-1-1-P,PAK-2-1-P,PAK-3-1-P,PAK-4-1-P,PAK-5-1-P,PAK-1-4-C,PAK-2-4-C,PAK-3-4-C,PAK-4-4-C,PAK-5-4-C,PAK-1-4-P,PAK-2-4-P,PAK-3-4-P,PAK-4-4-P,PAK-5-4-P,PAK-1-24-C,PAK-2-24-C,PAK-3-24-C,PAK-4-24-C,PAK-5-24-C,PAK-1-24-P,PAK-2-24-P,PAK-3-24-P,PAK-4-24-P,PAK-5-24-P,P6-1-0,P6-2-0,P6-3-0,P6-4-0,P6-5-0,P6-1-1-C,P6-2-1-C,P6-3-1-C,P6-4-1-C,P6-5-1-C,P6-1-1-P,P6-2-1-P,P6-3-1-P,P6-4-1-P,P6-5-1-P,P6-1-4-C,P6-2-4-C,P6-3-4-C,P6-4-4-C,P6-5-4-C,P6-1-4-P,P6-2-4-P,P6-3-4-P,P6-4-4-P,P6-5-4-P,P6-1-24-C,P6-2-24-C,P6-3-24-C,P6-4-24-C,P6-5-24-C,P6-1-24-P,P6-2-24-P,P6-3-24-P,P6-4-24-P,P6-5-24-P,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8
p2873,616.5060167,15.83257414,C39H68O5,DG(36:4),6,Lipids: Glycerolipids,Diradylglycerols,1701824.322,474426.712,689477.527,724638.7815,1052729.569,442862.833,360427.7992,362039.3041,864197.4011,738833.4132,366215.8608,373494.7282,365281.6214,840487.9879,741148.0424,245265.6314,101663.8242,145609.1862,221283.3839,340351.4265,393155.6701,295420.4753,734313.2865,2046055.244,1370441.332,62060.50988,35611.55895,50948.0078,137140.8139,14555.21293,37771.9962,26685.54444,37235.55383,91374.89339,28466.17455,70100.42825,126852.3332,307339.3035,173699.2011,232773.8264,187818.2704,99163.68156,110038.5196,100716.0265,136479.9272,121246.1281,40214.14278,57440.92395,221841.0311,136670.2139,79390.97353,39382.18238,64125.45257,169105.7966,131324.065,119745.7171,36574.04755,174373.6781,91195.07268,154952.1387,37976.99923,24438.0967,44132.66663,116721.0704,27308.34092,29217.9979,33171.41297,31838.60201,36730.01565,21684.78813,222403.7833,187479.7017,129084.0117,107593.1992,100490.7779,85736.43583,83460.6557,78477.38396
p2378,618.520856,26.83057272,C39H70O5,DG(36:3),6,Lipids: Glycerolipids,Diradylglycerols,275424.2819,334942.4974,297509.8751,327245.1611,294727.2802,356165.1356,271042.0832,292389.6333,273274.0131,308431.9057,358467.3197,346324.4575,256762.0956,279898.6817,383101.5339,332305.3939,251247.6594,343012.5956,302083.9897,305360.2004,335539.6957,336197.7412,306635.2213,267587.7909,316270.983,309263.194,248915.8064,303751.9706,340701.5202,318546.3094,307871.2073,222648.7525,354632.1639,364202.6574,319240.8701,351444.1263,299513.4926,360540.5565,330000.1554,413577.3403,339035.4777,323673.9662,351403.4193,282261.0023,368941.8841,326418.0763,308894.3431,304227.2524,364860.7513,353440.9488,303746.3982,256662.4436,337644.1042,235554.0889,282945.1136,293986.3848,259855.5405,333778.3461,309573.2828,343190.7929,339308.6506,257057.6412,327570.8489,354073.5084,348208.3374,308960.9373,325887.5596,463846.3151,313605.8494,316326.2874,235266.7841,250080.0767,266272.0605,257787.1008,237533.8215,275900.4591,253189.7427,267153.1849
p1682,330.2774609,4.628540378,C19H38O4,MG(0:0/16:0/0:0),5,Lipids: Glycerolipids,Monoradylglycerols,1641094.211,2117258.119,2026261.716,1581010.162,1869216.493,2844077.828,6161220.013,5569025.775,5888069.823,3001649.53,3619250.13,5921892.046,16188326.07,8033462.503,4456698.703,3521354.942,9043962.913,4840072.522,2523473.191,4541333.146,3729559.817,8645758.551,6008227.266,10305731.87,2979908.474,4332369.69,14811273.34,7609813.383,3443455.978,6550583.425,4128254.402,16053014.12,5949332.554,3281657.755,7093478.326,1744012.991,2854728.815,1952558.425,2408904.406,1918448.54,4092965.328,7469481.177,6398560.085,5325271.275,3098581.455,3763951.428,6981052.557,8176732.272,2507009.656,2964939.281,3814425.807,8583095.717,5034119.888,10450356.52,3707121.762,4279191.692,10326204.41,5781564.678,11027248.58,4109226.101,4454442.581,15601666.16,6781909.696,3266344.854,7828518.664,8403269.15,15043196.87,4406239.511,3397623.649,6708012.945,8453857.773,7755086.573,8117110.842,7132164.35,6940161.003,6735623.095,6607583.847,6068517.437
p3345,550.4969321,27.49580553,C35H66O4,DG(P-14:0/18:1(9Z)) 1-O-(1Z-Tetradecenyl)-2-(9Z-octadecenoyl)-sn-glycerol,5,Lipids: Glycerolipids,Diradylglycerols,126538.6856,149686.7536,141192.0841,127075.2082,130119.8071,133475.3557,124247.2055,134005.0791,127148.3742,113368.3443,124238.0332,131735.5687,104294.3746,129617.7327,150304.5568,122109.1381,98867.14985,118565.4224,121326.7055,126232.674,143857.1697,112135.6699,147047.4898,108474.4301,124371.0047,166777.451,84335.72397,109903.8215,148196.3371,117441.0025,115370.4895,106762.7153,133405.3654,127329.1285,141065.4313,155051.5344,107861.3968,126580.1718,157527.9248,145979.1935,138751.2611,109008.5718,104139.943,119478.9336,136251.4029,124410.8245,152619.0875,122563.0082,127569.0817,150154.8409,139567.1153,120898.399,118120.7876,99815.29327,120869.0791,134005.7491,128456.7339,159251.3918,142429.6014,156065.0257,134575.9279,92319.79114,124434.5591,148670.6461,156151.5961,128746.8496,116571.6617,176534.2896,123565.7378,131411.9383,115378.0546,110270.4078,107969.5477,97757.70463,102613.7018,118379.8011,113401.5244,110592.806
p4315,588.4747418,14.3276117,C37H64O5,"DG(14:0/20:4(5Z,8Z,11Z,14Z)/0:0)",5,Lipids: Glycerolipids,Diradylglycerols,668722.2709,156008.8148,221087.7731,262086.8523,340068.3253,163913.2719,116889.7587,132490.6274,345378.797,213250.0876,128699.552,82123.97652,137948.3499,263469.1209,233570.9626,68521.84447,40417.84389,48453.91748,80305.43242,82607.76208,123208.2076,72469.98168,292896.3204,490236.7339,198574.2525,28344.21627,26704.64472,26449.50283,76371.81768,5890.514264,19460.66056,13948.42372,22004.88553,44095.42988,17883.89525,53380.18142,51821.29248,172107.5754,99010.5098,107370.2817,93490.32503,50340.773,38393.84615,71150.40633,93533.3086,67582.13324,20058.54432,41011.42642,75936.40306,59173.48586,19029.82477,15437.15704,33888.68465,56604.6712,53758.46582,46013.97713,20944.9581,59855.11084,24604.13612,55416.85083,22239.15276,18154.95659,37352.7086,65273.47225,12549.98103,13835.52831,18801.49421,9723.828842,17839.79301,6923.630763,66744.64999,52162.6259,43288.00983,33819.20849,37640.98531,28136.61594,26028.55539,25774.31142
p2384,590.48954,26.89497013,C37H66O5,"[DG(16:1/18:2)] 1-(9Z-hexadecenoyl)-2-(9Z,12Z-octadecadienoyl)-sn-glycerol",5,Lipids: Glycerolipids,Diradylglycerols,264871.0108,292162.9373,275122.9821,284704.5232,254327.146,252302.2814,281588.0625,240076.4259,207690.5098,253646.3384,327420.1251,296477.9265,227407.6043,276514.0923,280766.9851,240753.8968,236055.2969,290510.202,261698.5042,258380.2557,272286.8406,311061.3957,275663.7478,217149.635,306647.3344,284516.752,210149.1567,236028.5874,303683.8243,260851.6029,265809.3408,193455.3911,278937.0805,246160.4304,269546.5676,281850.1162,261683.2881,327229.0967,289962.7914,355788.9015,312708.0275,248311.3585,307763.1996,309376.7548,287824.1936,259117.4451,295940.3166,270864.6787,270599.6021,298471.3338,274456.4861,219635.2934,254100.8686,234765.8829,233329.6542,255984.804,225115.7022,273499.4983,242554.6587,253336.7978,281077.1709,224700.3141,288394.1859,269753.727,329094.5171,268360.8898,231904.3523,396375.9177,293516.1109,293198.1672,197544.1333,194280.9448,205439.6866,213482.8639,225742.6878,265942.5161,212804.1244,232153.8634
p749,601.568473,0.702907673,C37H67D5O5,"1,3-diheptadecanoyl-2-hydroxy-glycerol (d5)",5,Lipids: Glycerolipids,Diacylglycerols [GLUndefined2Undefined1],672564.4682,1272384.475,1211548.842,1509048.47,1325323.372,1384842.89,1022730.766,1051728.843,1051140.445,1137104.779,1255339.601,1706007.372,711501.7812,1255149.024,1658223.398,975541.4809,814690.1451,1030656.092,815706.9311,1017641.857,1550335.949,1266839.376,754930.7185,750860.3738,1672886.716,517766.77,585186.1898,668501.5022,507715.2214,488845.6293,728356.2414,792224.8562,742626.2973,724939.1357,640029.8288,1526950.583,1247884.169,1038024.233,1340270.32,1361448.927,1177594.01,1098793.581,1608421.917,1054667.75,1554053.594,1053373.686,1740595.621,1349430.265,1643334.117,1473115.704,1422397.447,841811.1015,1196896.342,995720.8919,1086625.788,1136120.479,1145507.275,995739.5183,1525184.425,1192978.386,761860.3967,730342.7736,731180.5346,730508.5311,226178.728,924895.7753,809632.3157,2233165.858,652131.4783,477327.7782,788437.1266,850750.3458,881618.1152,806084.3707,746838.9303,985215.4851,979768.6367,1023133.931
n500,624.5709118,0.707018869,C39H76O5,"[DG(18:0/18:0)] 1,2-dioctadecanoyl-rac-glycerol",5,Lipids: Glycerolipids,Diradylglycerols,321736.8174,1035112.283,938919.2642,1374969.786,646459.3019,635399.2257,1271923.733,744187.2844,581962.7184,589447.0951,711632.2536,1336713.453,430257.2189,845992.5186,957438.0035,431666.2998,593287.1148,647511.3631,454356.2555,669724.645,1015883.558,1360486.627,460756.0232,596131.0178,1441422.833,226617.2225,527573.4955,270693.4741,190043.2086,0,292118.5474,479250.9401,315494.688,436815.5935,287019.5147,1181189.005,1038063.133,1016915.473,1027845.856,813314.3656,725524.9191,872689.3299,815756.2486,1121512.802,1472998.322,657198.9106,1098773.221,1058635.857,1062121.775,1177681.411,962764.1684,675951.0974,619193.5535,776601.8072,807137.904,584135.3809,602213.2858,407384.7456,1171288.883,528109.3635,444420.3777,763210.38,362127.9043,268649.5627,0,688254.2014,395827.7196,1606950.999,180661.0055,0,626567.5251,631978.735,525361.2024,960218.9823,528429.0304,1457818.621,744304.5033,792852.8983
p3832,394.2493328,4.960673093,C19H39O6P,LysoPA(P-16:0),8,Lipids: Glycerophospholipids,Ether lipid metabolism,625328.7082,410334.0507,469938.0291,562586.6677,451696.8943,633920.4708,651103.0809,610443.407,663773.3195,591814.7142,908420.7325,1433479.173,1813384.228,1593237.162,2065565.269,1001598.747,973236.2818,947643.9026,846505.3755,739190.0641,817307.5515,1025330.797,1377386.637,1431537.413,1494561.72,524468.9741,754379.0431,638068.1035,647235.4844,352014.1237,249818.1988,808505.8723,437410.7813,183924.4742,249572.6091,414049.4456,574930.447,442963.9618,528009.9894,429888.0447,579902.306,792062.0998,669224.8432,713659.9409,389201.2671,591283.5302,721568.1135,599403.5834,639785.1911,350681.0449,622546.2728,776178.4527,736352.8289,1013426.588,623672.2154,435806.0952,755438.8616,499723.1379,1000895.55,428674.8397,289938.3239,772200.8008,753704.3668,412403.1411,235987.4388,574506.1135,703017.8758,1360856.194,1164962.392,241484.0116,769591.8495,837579.1021,908397.7963,881490.805,888921.5175,948692.6731,914672.0859,936893.8729
n2825,410.2434029,3.115927137,C19H39O7P,LysoPA(16:0),8,Lipids: Glycerophospholipids,Glycerophosphates,36933.99667,115971.5178,78522.23617,70437.04825,82716.03416,41616.39862,54972.76971,78320.13104,60838.64833,51390.33993,41549.89987,76750.69431,153353.4596,79858.17802,48911.52176,27990.69392,71386.41021,59644.04918,54050.95527,57349.33169,22740.94691,59638.81716,56856.10679,80204.96355,31488.63413,29702.41435,101057.0376,37439.85322,23214.34379,67499.75455,31130.22889,100631.0437,31519.88505,19640.16334,39375.26687,81682.87061,467560.9598,199288.559,303998.8701,126246.3047,70064.06194,129603.7738,74018.37475,90928.55795,54436.27593,49252.97798,104184.0142,63260.90091,75979.67623,52090.39229,43687.15944,82798.8241,38973.56693,76712.7396,48677.95127,37445.767,82441.1844,58788.23288,82604.61312,53015.47041,25853.55131,85945.93307,41758.69189,19607.64753,60047.46699,46877.12724,94782.35758,34698.90717,22536.04333,52482.7846,88979.9017,79265.77269,70833.62568,68149.83225,77055.39392,74280.04789,69742.7051,68927.05484
n3093,439.2699655,3.194718157,C20H42NO7P,LysoPE(15:0),8,Lipids: Glycerophospholipids,Glycerophosphoethanolamines,30660.39594,25938.98027,29779.03931,22660.50172,27570.57934,22361.8091,30568.03028,30426.48648,35200.78719,28378.08432,23775.31794,23601.24874,35135.58814,19347.80512,21418.46501,81161.13391,106575.5898,70270.65287,55415.62603,65134.08434,22043.24481,23638.37544,33818.36659,26480.73139,12976.06733,60743.80517,62813.41191,71596.60882,80675.45305,164458.9076,60154.54019,42667.72648,61692.63609,48780.53957,124250.6671,31190.84844,36486.12688,42884.74043,33401.88713,29143.47507,35714.49137,41070.15529,37377.22213,34903.29737,28692.49406,16521.14089,14138.96577,12631.98272,21943.46985,13910.56631,42911.237,19808.65747,24904.77114,35727.75178,18614.91877,16217.79912,47064.73064,21089.20611,26872.8598,25630.92629,32908.61912,46612.82573,70236.12956,62348.30308,60626.28004,37790.21666,44477.97318,69563.15298,49115.07484,48615.72192,42834.66894,43699.98071,41489.11401,40390.60078,47039.2236,37186.15386,40167.51762,41607.56958
n1272,451.2701597,2.951620937,C21H42NO7P,LysoPE(16:1),8,Lipids: Glycerophospholipids,Glycerophosphoethanolamines,3971624.859,4073865.635,3595122.629,3693294.011,3947664.511,2583290.641,2306524.775,3014297.931,2900944.789,3271795.956,1429957.551,1398146.187,2084389.591,1237952.279,1557009.177,2058984.951,2516141.501,1803984.366,1905581.267,1758052.748,500257.6843,589882.8617,1022446.027,575887.0229,609528.5633,408275.6966,265321.0076,510515.2338,690393.2299,283158.8135,354519.4106,331776.8222,395988.5099,553223.9451,366018.5551,3217027.103,3742498.531,3586274.469,3778003.992,2890295.042,3045901.123,2792781.229,2783736.334,2925518.952,2111634.965,1719003.071,2040435.492,2299233.68,2707518.605,1693811.311,1313365.401,1400618.966,1437975.421,1490306.197,1460372.155,989961.4515,1360152.572,1254109.879,1696932.465,1298330.668,424985.8778,372151.5056,312638.5229,517986.0164,378955.7744,310246.5138,397688.3628,96255.7587,760289.6202,303074.6937,1600896.083,1809177.624,1601806.626,1615597.479,1584784.304,1585640.968,1792337.038,1504943.563
n941,453.2855267,3.509394015,C21H44NO7P,LysoPE(16:0),8,Lipids: Glycerophospholipids,Glycerophosphoethanolamines,12940879.08,12270165.95,10832374.41,9375109.035,12102790.9,8512673.703,8776540.624,10273004.98,11313844.52,11134543.59,3456184.852,3559336.077,5975409.442,3952852.451,5967370.044,8854541.438,9288279.604,6114220.772,5194867.076,6659779.552,1925849.466,2053573.188,3782907.878,2540893.807,2678682.054,4184251.542,3870541.397,5220818.526,5112252.991,3342369.49,3073889.007,3460011.986,2997219.89,3255088.483,3818895.792,8541393.985,8602730.741,10182242.76,10478114.1,7606050.187,8886914.706,8474781.64,7377948.56,9171238.812,7388365.891,3986306.088,3469852.274,4476028.531,5304507.616,4502326.723,3360333.055,4331420.485,4828338.848,5896174.428,5036583.059,2665230.085,3403358.577,4213128.84,3616550.95,4094456.633,2958730.757,3524995.465,3337818.159,3703670.452,3505643.934,2675293.749,3461864.465,934246.0384,3859891.005,3334852.296,5220825.489,5178594.027,4689256.532,4976052.02,4782204.682,4493763.671,4574312.531,4351842.396
p5938,467.2658057,1.953947263,C21H42NO8P,PE(16:0),8,Lipids: Glycerophospholipids,Glycerophosphoethanolamines,124554.8043,164349.8388,154403.1737,152656.9202,155610.0597,147545.1249,81900.84199,118256.8435,122183.5275,132504.5254,40357.66106,38523.08969,35071.94876,26431.56914,78992.21006,60026.62836,29018.96708,22642.76307,29880.23213,15995.19203,0,11013.96056,7629.417782,11097.59792,11547.67217,9735.970789,0,28187.63056,14773.01977,9022.621925,0,0,7403.258469,7059.944166,0,130073.4691,128240.7158,146614.4946,172506.1027,142761.4097,100507.4887,100825.3986,123506.6593,150133.2397,130151.1199,79402.7908,107314.7205,103565.4589,94436.99196,87402.20758,17167.70007,15928.99451,64427.89272,15915.97771,23395.00548,14794.01169,18119.91291,21713.46904,31041.30421,23804.91376,23489.58607,0,16400.34364,9466.404283,0,0,0,0,7153.188884,0,52694.62852,48920.86414,48615.31931,41050.69833,44382.95562,48959.32838,42204.41951,42953.36688
n3081,467.3012401,3.896582057,C22H46NO7P,[LysoPC(14:0)] 1-tetradecanoyl-sn-glycero-3-phosphocholine,8,Lipids: Glycerophospholipids,Glycerophosphocholines,37834.3982,38946.11875,23681.1355,29766.22302,39892.29995,33793.61617,40392.03144,40387.54195,45538.46975,40370.24402,26651.27882,21024.5913,46398.531,35541.87612,50109.66633,162556.8315,176741.5857,118114.4981,83548.18226,109408.35,51113.05548,34856.91832,45053.89897,34597.16374,25135.95047,82432.8978,72551.00833,86629.07101,83268.03444,72626.0487,72740.85584,78757.20045,42107.0225,63771.65725,79763.89071,31057.43639,31414.49424,41627.61048,31839.38555,21819.7705,29938.08805,37373.88075,33347.76845,33906.29179,30044.63913,18030.36946,17907.18039,20795.1558,24740.37563,20812.2622,65130.31586,66037.08051,85222.15298,102506.4812,83147.30111,40013.77413,48907.85253,71524.87553,55186.59845,66447.62398,50208.31998,63681.87032,56161.99626,60872.6657,64952.66456,45483.33083,53263.83682,27191.33067,56641.45782,52616.78369,46206.12487,47390.60657,47743.56053,51312.62458,52355.71405,39626.14794,45743.71498,43728.28327
n3147,477.286141,2.457902563,C23H44NO7P,LysoPE(18:2),8,Lipids: Glycerophospholipids,Glycerophosphoethanolamines,15498.43753,23100.51396,19145.70413,17969.98843,19792.14575,16539.27774,34277.53062,30433.04616,27039.29904,18756.34637,10517.43424,24862.14915,51776.93465,21509.60451,9158.449342,18004.56161,59767.80185,36247.29729,13738.29678,31617.54677,6007.955861,37309.81004,16046.24641,33342.40028,8958.94962,18559.55179,94672.77509,59123.11061,12093.86186,56906.53678,19802.33184,94600.95436,66958.40855,15390.11125,40198.28852,19090.40428,20941.65012,34293.12418,16229.17532,13506.64694,16121.10342,40992.10731,40385.37897,31869.78926,21517.66762,10216.11814,41880.98768,35098.91152,34845.22559,12221.75197,25377.78629,57827.30836,37099.81396,45460.973,19963.74719,12880.96315,47625.17393,20245.61226,59031.28048,14069.91938,25642.39894,108072.1736,78016.2909,10863.53998,41658.2101,81524.03467,97613.61684,68270.14,25833.09405,40462.73867,49876.74952,54020.46442,51147.02554,54905.72913,52860.97147,53974.03409,48084.40624,47686.35243
n2677,481.317094,4.327812384,C23H48NO7P,LysoPE(18:0),8,Lipids: Glycerophospholipids,Glycerophosphoethanolamines,482710.5012,360980.4768,302714.4118,281055.2642,396087.1329,298513.806,361849.1853,416178.9525,555647.688,412750.7646,150759.8108,159281.1879,499879.3968,397969.243,610872.3145,400493.5856,412157.3588,311898.5443,293381.9717,387168.5707,107129.7645,131125.0407,224650.785,261056.6498,124263.0796,118512.4851,223081.6139,157491.517,206389.4001,159998.173,110212.0037,222126.3351,106255.6351,136383.1619,165047.0662,170394.5839,217095.4748,278648.7455,276004.4517,179521.0057,212553.8297,290284.7278,180365.7491,316827.9901,247210.8434,100341.5917,122225.0006,171391.9903,165756.9622,149261.4322,112246.1646,168805.32,179860.693,344682.2934,192878.9273,87852.77509,157304.1804,172968.4953,167879.0086,149208.5546,60651.72902,152912.4211,171788.2788,123228.8884,126170.1945,67587.83794,158911.0198,102575.4469,91948.50193,114501.7868,207158.6803,209904.2853,201351.7491,176991.8001,161225.9511,154883.0946,154628.5534,130147.9236
n1666,493.3171046,4.197649794,C24H48NO7P,LysoPC(16:1),8,Lipids: Glycerophospholipids,Glycerophosphocholines,89122.31183,100322.5385,45876.463,47690.5235,54553.35201,77823.64597,80070.10352,51099.56988,61003.14594,43408.6243,25162.07211,28804.94026,32240.54757,23108.46398,24416.86812,814126.6686,815146.1327,629749.1336,395639.533,589267.476,83445.65707,87938.44339,71244.39085,59326.2235,54072.75693,2302869.399,2286236.187,2485417.669,3036979.498,1575405.019,1344471.168,1533515.588,1292908.319,1509155.775,1704183.126,69954.48349,89057.96596,63653.37457,40338.08884,30477.89481,55313.80626,63086.26843,51580.906,41768.93352,40617.47928,27299.18387,21515.74724,30508.70935,32529.57222,23012.66816,238722.7817,248965.7666,297686.087,316839.8849,216653.593,76303.28794,113388.9661,126028.1167,117318.465,91119.01409,2001611.352,2332884.252,1788146.977,2235998.468,1712491.064,1278985.182,1596611.818,547224.7983,1310894.034,1496268.35,681575.5274,689991.2909,645364.2113,678062.721,620273.106,625939.7367,604340.0988,623267.0887
p5312,551.3961769,4.74192697,C28H58NO7P,LysoPC(20:0),8,Lipids: Glycerophospholipids,Glycerophosphocholines,0,13680.58023,15159.88698,17851.65272,22785.25737,6452.562028,20536.07928,25775.30075,23069.43906,22676.1646,12098.48115,18611.78606,34382.0081,23512.48456,23992.64791,6118.566558,25297.42839,23076.9741,22619.33406,45339.18971,7310.085953,19209.14165,27728.42388,27145.79899,18914.49015,209457.0543,204719.4862,51410.00613,125497.9642,217333.1325,357721.2622,236573.0147,79476.39714,193139.3779,459113.6798,0,26759.6883,18993.05374,15699.57471,23265.00487,16770.14752,28711.75266,18236.77366,20434.46012,19421.91205,5744.771991,19118.37783,11201.81808,21548.88409,14620.34712,12558.33754,28298.30667,20907.35311,34924.70956,17673.87684,6370.949058,15550.72962,20018.26079,21181.95378,22304.29462,221524.3803,102955.8116,128533.3305,31546.78572,168666.0281,109873.6991,83126.31799,407698.1618,32424.67653,206063.5007,34100.93945,41719.3359,38559.1904,39824.15384,41277.73734,40695.33865,35733.60897,36355.48362
p5526,566.3569124,1.223380649,C28H55O9P,PG(22:1),8,Lipids: Glycerophospholipids,Glycerophosphoglycerols,116857.4564,146084.0312,123728.2955,251453.0327,154310.6055,143625.7755,168498.8096,151557.2704,215066.9899,107539.7537,131137.3465,172833.4036,110184.59,152519.9407,148157.2205,152837.6257,119363.9859,194297.3812,154037.5765,188545.5684,96844.23864,180745.1789,159347.4447,206697.9305,211593.1105,130935.1364,145409.5313,210529.3692,120034.1445,376175.6149,110996.4978,156522.571,159632.5016,148291.2977,136084.3742,164765.1302,136727.5166,139503.2618,174504.0148,77474.62992,130411.8562,146481.9113,122330.6012,170640.4071,204994.9753,147743.2154,206534.1244,135146.3464,125862.4455,148017.9484,136892.5104,223882.8498,122454.1559,277586.1669,155996.0071,96291.08836,163187.1314,136025.1317,305330.6603,144870.8206,115195.6898,124286.5657,116615.9659,126126.9412,113050.1431,136716.2956,124020.155,0,167481.748,150960.3739,117697.2827,108038.8187,150079.3199,119313.1242,119626.986,167347.3139,181920.9178,149327.2725
p4712,705.5313798,9.750010238,C38H76NO8P,PE(33:0),8,Lipids: Glycerophospholipids,Glycerophosphoethanolamines,968951.5181,258342.4313,209831.9843,129916.7283,366403.6507,132235.5225,194211.5241,332409.1324,676242.4238,293994.255,168697.726,99645.82269,510598.7757,517871.4135,353679.2193,356009.8831,487681.9976,236267.7088,251532.7724,370534.9253,143028.6918,86453.20896,189611.239,292667.7626,35227.52381,217367.1322,106063.9323,116425.6641,347820.8127,142084.1506,89743.21608,56047.24183,51803.66392,129999.2668,54558.73045,117084.5297,173237.0309,519018.57,330607.1888,180363.6418,326380.1323,257616.6581,71360.66947,166698.7666,210867.5628,169758.9187,71418.77088,257849.7352,80641.67765,150959.1879,33157.12191,73599.32607,87359.60173,248333.7683,205383.6853,127102.7311,100398.2774,261851.6051,50158.22953,321003.0195,50629.49591,33305.95819,155100.5789,125517.5401,111205.512,38714.51962,47151.88028,16212.98002,64071.23594,83931.04855,158506.0813,149821.443,119796.657,94160.28365,86063.71794,91362.38922,67925.58154,63618.97176
p336,715.5159357,11.04543289,C39H74NO8P,PE(34:2),8,Lipids: Glycerophospholipids,Glycerophosphoethanolamines,107091742.6,23152558.97,17579349.47,15626642.52,28438895.17,12582899.35,14390159.82,21121928.42,34414747.23,21623036.44,14220395.96,10498180.3,33405853.63,28196938.08,24268327.28,23771857.62,29758463.66,18287513.25,18575054.86,28612339.56,12291902.55,9394842.595,27945561.68,26630249.41,6838630.672,10567364.79,2624328.145,8580421.993,25221735.54,4097634.939,5576937.83,2638086.226,4846914.329,11023696.84,3602844.401,11829413.64,15295136.58,37110709.77,23646388.78,19114076.26,23898859.74,20349125.41,6855311.915,13009514.34,15680893.03,14636376.76,7187038.208,17108902.6,8583987.622,10245244.42,6620282.606,8967998.358,9260497.881,19652525.94,15933613.91,13869666.82,10855142.75,22846614.71,5800315.396,22167930.02,3846717.764,2109376.313,6619470.495,19083424.31,7072689.528,2224502.282,2718506.517,2431910.59,8017387.283,3560735.054,15650187.31,13684698.62,11452894.71,9821986.231,9377335.92,8613712.62,8288751.764,8045601.875
p433,717.5312392,11.7535761,C39H76NO8P,PE(34:1),8,Lipids: Glycerophospholipids,Glycerophosphoethanolamines,84546357.48,23040047.27,18895228.42,16127130.56,35211957.91,11833215.12,13501733.18,21246187.68,32720162.39,34573240.99,10693084.63,15204303.42,23651917.37,33745326.76,30930824.65,19642307.74,41172423.35,24210186.35,21422718.06,48649499.86,9583468.473,7981557.538,14172110.45,19669547.21,13352574.12,39992376.3,9771356.692,21009190.82,62393066.57,25292877.79,15235155.42,8071008.693,14427457.52,16999221.4,13326640.1,5122014.648,9464181.055,21174675.04,15287520.65,12581881.91,16013924.98,11121915.32,8965947.422,8140345.866,8602906.344,7417599.513,4511373.539,10869898.16,12304756.19,9887701.708,6974363.664,5552570.869,6101678.453,19732835.98,11509816.34,7791702.072,6161311.835,15544541.49,7577660.481,17884093.48,9729324.989,10200493.39,31115184.49,37549662.47,21714100.77,8355611.065,6564077.976,15589542,13969538.65,12035950,27220952.77,20820053,14454024.78,12455537.98,10537865.22,9844144.458,9437944.34,9060481.582
p1904,729.5314009,11.713253,C40H76NO8P,PC(32:2),8,Lipids: Glycerophospholipids,Glycerophosphocholines,656735.1464,135510.0976,89082.98819,94897.34195,157435.959,92323.44417,102905.3652,129235.8925,245760.7854,151249.0733,180880.1693,151089.477,326096.0867,344602.4055,245661.791,1626795.242,2241581.953,1396281.401,1076696.64,2041690.876,569006.8281,458936.9868,776892.2522,795446.2617,167115.9055,14571989.13,4216522.36,9154824.659,17493303.03,8625419.547,5436421.16,2818805.297,6628382.848,5046260.542,5336924.66,77901.00977,102956.6948,211805.8441,106244.4182,90257.46611,138746.3054,159435.1693,60797.4961,81832.55307,107427.6673,98401.05284,59242.74742,118937.9336,92462.21767,77874.65403,223357.5549,322168.1131,333388.1873,689069.5485,543868.1691,447182.2786,383162.1775,813865.998,236682.1309,733726.4327,4902657.005,4224946.53,11605444.31,13819079.08,9720462.796,4214873.554,4029545.361,3257363.283,4830980.628,5787732.398,2660060.387,2155590.594,1718446.606,1678640.3,1219575.804,1335722.698,1382749.316,1330169.755
